"","employees","salaries_2017","adjustments","salaries_2018","got_raise"
"1","employee 1",46138.8021870516,-3462.16981881298,42676.6323682386,FALSE
"2","employee 2",47753.3972589299,-4534.63334124535,43218.7639176846,FALSE
"3","employee 3",40477.1555704065,9973.35939551704,50450.5149659235,TRUE
"4","employee 4",45936.172127258,8042.53861657344,53978.7107438315,TRUE
"5","employee 5",49428.2398652285,9965.64432862215,59393.8841938507,TRUE
"6","employee 6",48042.7977954969,-1039.01700582355,47003.7807896733,FALSE
"7","employee 7",47801.9387670793,9783.98157749325,57585.9203445725,TRUE
"8","employee 8",40693.1016105227,-2971.93574020639,37721.1658703163,FALSE
"9","employee 9",43846.3065424003,2064.62016911246,45910.9267115127,TRUE
"10","employee 10",45863.9294630848,2339.38476303592,48203.3142261207,TRUE
"11","employee 11",40324.3192844093,8231.7926059477,48556.111890357,TRUE
"12","employee 12",48881.9436053745,5164.38802005723,54046.3316254318,TRUE
"13","employee 13",40882.9065365717,138.562818756327,41021.469355328,TRUE
"14","employee 14",41773.6658989452,-1485.46160198748,40288.2042969577,FALSE
"15","employee 15",42692.5110770389,4123.95982770249,46816.4709047414,TRUE
"16","employee 16",49991.8686877936,3640.60765481554,53632.4763426092,TRUE
"17","employee 17",48640.9027059563,-4636.56847365201,44004.3342323042,FALSE
"18","employee 18",44241.53477652,8101.68890398927,52343.2236805093,TRUE
"19","employee 19",48804.8256933689,3884.77817643434,52689.6038698032,TRUE
"20","employee 20",46042.3575202003,5975.45254975557,52017.8100699559,TRUE
"21","employee 21",47228.4532361664,-3650.97903995775,43577.4741962086,FALSE
"22","employee 22",41264.0127679333,3479.91412389092,44743.9268918242,TRUE
"23","employee 23",42192.8783110343,-3259.78907756507,38933.0892334692,FALSE
"24","employee 24",44537.743544206,472.015553386882,45009.7590975929,TRUE
"25","employee 25",44429.5667181723,-4486.08364327811,39943.4830748942,FALSE
"26","employee 26",43274.3425690569,2916.11124644987,46190.4538155068,TRUE
"27","employee 27",47983.7566893548,7007.50707415864,54991.2637635134,TRUE
"28","employee 28",43748.8836841658,-4532.62240393087,39216.2612802349,FALSE
"29","employee 29",45360.1369448006,-3093.21025619283,42266.9266886078,FALSE
"30","employee 30",43253.0865678564,6143.89473455958,49396.981302416,TRUE
"31","employee 31",49708.3604312502,9457.77946850285,59166.139899753,TRUE
"32","employee 32",46660.6543422677,-2719.4477932062,43941.2065490615,FALSE
"33","employee 33",47395.0839438476,-1181.58930214122,46213.4946417063,FALSE
"34","employee 34",42711.2584654242,4558.58553876169,47269.8440041859,TRUE
"35","employee 35",43153.3697294071,-3808.79430216737,39344.5754272398,FALSE
"36","employee 36",40371.3668137789,9576.23373600654,49947.6005497854,TRUE
"37","employee 37",44333.8885717094,7102.86049521528,51436.7490669247,TRUE
"38","employee 38",46224.2563976906,7192.31791445054,53416.5743121412,TRUE
